"uniqueid","name","role","kcal","cholesterol [mg]","sodium [mg]","carbs [g]","TAG: VEGETARIAN","TAG: VEGAN"
"KFC","OR Chicken- Whole Wing","entree/topper:honey",120,50,380,3,0,0
"KFC","OR Chicken- Breast","entree/topper:honey",360,110,1080,11,0,0
"KFC","OR Chicken-Breast without skin or breading","entree/topper:honey",160,85,580,2,0,0
"KFC","OR Chicken- Drumstick","entree/topper:honey",120,45,310,3,0,0
"KFC","OR Chicken- Thigh","entree/topper:honey",250,80,730,7,0,0
"KFC","EC Chicken- Whole Wing","entree/topper:honey",190,55,410,6,0,0
"KFC","EC Chicken- Breast","entree/topper:honey",510,110,1010,16,0,0
"KFC","EC Chicken- Drumstick","entree/topper:honey",150,55,360,5,0,0
"KFC","EC Chicken- Thigh","entree/topper:honey",340,80,780,10,0,0
"KFC","Spicy Crispy- Whole Wing","entree/topper:honey",170,45,470,6,0,0
"KFC","Spicy Crispy- Breast","entree/topper:honey",420,110,1250,12,0,0
"KFC","Spicy Crispy- Drumstick","entree/topper:honey",160,50,440,5,0,0
"KFC","Spicy Crispy- Thigh","entree/topper:honey",360,85,1010,13,0,0
"KFC","Grilled Chicken- Whole Wing","entree",80,50,250,1,0,0
"KFC","Grilled Chicken- Breast","entree",220,135,730,0,0,0
"KFC","Grilled Chicken- Drumstick","entree",90,60,290,0,0,0
"KFC","Grilled Chicken- Thigh","entree",170,90,530,0,0,0
"KFC","Crispy Strips (3)","meal/topper:dipper",390,85,1130,17,0,0
"KFC","Crispy Strips (2)","meal/topper:dipper",260,60,750,11,0,0
"KFC","KFC® OR Filet","entree",200,55,670,8,0,0
"KFC","Popcorn Chicken-Kids","meal/topper:dipper",260,30,690,12,0,0
"KFC","Popcorn Chicken-Individual/topper:dipper","meal",400,45,1040,18,0,0
"KFC","Popcorn Chicken-Large","meal/topper:dipper",560,65,1480,26,0,0
"KFC","Hot Wings® (1)","tapa",70,20,140,4,0,0
"KFC","HBBQ Hot Wings® (1)","tapa",80,20,240,8,0,0
"KFC","Fiery Buffalo Hot Wings® (1)","tapa",70,20,270,5,0,0
"KFC","KFC Snacker® with Crispy Strip","meal",310,35,600,30,0,0
"KFC","KFC Snacker® with Crispy Strip without Sauce","meal",260,30,550,29,0,0
"KFC","KFC Snacker® with Buffalo Crispy Strip","meal",270,30,720,31,0,0
"KFC","KFC Snacker® with Ultimate Cheese Crispy Strip","meal",280,30,700,31,0,0
"KFC","KFC Honey BBQ  Snacker®","meal",210,35,470,32,0,0
"KFC","Crispy Twister®","meal",610,75,1380,52,0,0
"KFC","Crispy Twister® without Sauce","meal",490,60,1260,51,0,0
"KFC","Honey BBQ Sandwich","meal",320,70,770,47,0,0
"KFC","Double Down with OR Filet","meal",610,150,1880,18,0,0
"KFC","Doublicious with OR Filet","meal",520,85,1180,40,0,0
"KFC","Chicken Pot Pie","meal",790,75,1970,66,0,0
"KFC","KFC Famous Bowls®-Mashed Potato with Gravy","meal",680,45,2130,74,0,0
"KFC","Snack-Size Bowl","meal",260,25,760,26,0,0
"KFC","Popcorn Chicken Value Box","meal",680,45,1850,53,0,0
"KFC","Hot Wings® Value Box","meal",490,55,1220,45,0,0
"KFC","Fiery Buffalo Hot Wings® Value Box","meal",510,55,1610,51,0,0
"KFC","HBBQ Hot Wings® Value Box","meal",540,55,1530,58,0,0
"KFC","Grilled Drumstick Value Box","meal",380,60,1090,34,0,0
"KFC","OR Drumstick Value Box","meal/topper:honey",400,45,1110,37,0,0
"KFC","EC Drumstick Value Box","meal/topper:honey",440,55,1160,39,0,0
"KFC","Grilled Thigh Value Box","meal",460,90,1330,34,0,0
"KFC","OR Thigh Value Box","meal/topper:honey",540,80,1540,42,0,0
"KFC","EC Thigh Value Box","meal/topper:honey",630,80,1580,45,0,0
"KFC","Crispy Chicken Caesar Salad without Dressing & Croutons","meal/topper:dressing/topper:crouton",340,70,930,16,0,0
"KFC","Caesar Side Salad without Dressing & Croutons","side/topper:dressing/topper:crouton",40,5,90,2,1,0
"KFC","Crispy Chicken BLT Salad without Dressing","meal/topper:dressing/topper:crouton",360,75,1120,18,0,0
"KFC","House Side Salad without Dressing","meal/topper:dressing/topper:crouton",15,0,10,3,1,1
"KFC","Heinz Buttermilk Ranch Dressing (1)","condiment:dressing",160,10,220,1,1,0
"KFC","Hidden Valley® The Original Ranch® Fat Free Dressing (1)","condiment:dressing",35,0,410,8,1,0
"KFC","Marzetti Light Italian Dressing (1)","condiment:dressing",15,0,510,2,1,1
"KFC","KFC® Creamy Parmesan Caesar Dressing (1)","condiment:dressing",260,15,540,4,1,0
"KFC","Parmesan Garlic Croutons Pouch (1)","condiment:crouton",70,0,160,8,1,0
"KFC","Green Beans","side",25,0,260,4,1,1
"KFC","Mashed Potatoes with Gravy","side",120,0,530,19,0,0
"KFC","Mashed Potatoes without Gravy","side",90,0,320,15,1,0
"KFC","Macaroni and Cheese","entree/side",160,5,720,19,1,0
"KFC","Potato Wedges","side",290,0,810,35,1,1
"KFC","Corn on the Cob (3"")","side/topper:butter",70,0,0,16,1,1
"KFC","Corn on the Cob (5.5"")","side/topper:butter",140,0,5,33,1,1
"KFC","BBQ Baked Beans","entree/side",210,0,780,41,1,1
"KFC","Potato Salad","side",210,10,560,26,1,0
"KFC","Cole Slaw","side",150,0,135,21,1,0
"KFC","Biscuit","side/topper:butter/topper:honey",180,0,530,23,1,0
"KFC","Sweet Kernel Corn","side/topper:butter",100,0,0,21,1,0
"KFC","Macaroni Salad","side",190,5,430,22,1,0
"KFC","KFC® Cornbread Muffin","side/topper:butter",210,35,240,28,1,0
"KFC","Sargento® Light String Cheese","condiment:unknown",50,10,160,1,1,0
"KFC","Country Fried Steak without Peppered White Gravy","entree",390,40,960,21,0,0
"KFC","Country Fried Steak with Peppered White Gravy","entree",420,40,1130,25,0,0
"KFC","Jalapeno Peppers","condiment:unknown",20,0,480,1,1,1
"KFC","Honey Sauce Packet","condiment:honey",30,0,0,8,1,0
"KFC","Colonel's Buttery Spread","condiment:butter",30,0,30,0,1,0
"KFC","KFC Signature Sauce Dipping Cup","condiment:dipper",70,10,135,5,1,0
"KFC","Spicy Chipotle Dipping Sauce Cup","condiment:dipper",70,10,220,8,1,0
"KFC","Sweet and Sour Dipping Sauce Cup","condiment:dipper",45,0,95,12,1,0
